Sentence ID,句子开头,句子结尾,新音频时长(s),是否完整,是否带入相邻句,状态
a06-p01-s01,"From a child I was fond of reading, and all the little money",le money that came into my hands was ever laid out in books.,9.352,待人工听音,待人工听音,needsReview
a06-p01-s02,"Pleased with the The Pilgrim's Progress, my first collection",ction was of John Bunyan's works in separate little volumes.,9.456,待人工听音,待人工听音,needsReview
a06-p01-s03,I afterward sold them to enable me to buy R. Burton's Histor,"they were small chapmen's books, and cheap, 40 or 50 in all.",14.420,待人工听音,待人工听音,needsReview
a06-p01-s04,My father's little library consisted chiefly of books in pol,y way since it was now resolved I should not be a clergyman.,22.256,待人工听音,待人工听音,needsReview
a06-p01-s05,"Plutarch's Lives there was in which I read abundantly, and I","antly, and I still think that time spent to great advantage.",5.224,待人工听音,待人工听音,needsReview
a06-p01-s06,"There was also a book of Defoe's, called An Essay on Project",influence on some of the principal future events of my life.,17.946,待人工听音,待人工听音,needsReview
a06-p01-s07,This bookish inclination at length determined my father to m,"r, though he had already one son (James) of that profession.",11.337,待人工听音,待人工听音,needsReview
a06-p01-s08,In 1717 my brother James returned from England with a press ,d with a press and letters to set up his business in Boston.,10.266,待人工听音,待人工听音,needsReview
a06-p01-s09,"I liked it much better than that of my father, but still had","an that of my father, but still had a hankering for the sea.",5.277,待人工听音,待人工听音,needsReview
a06-p01-s10,"To prevent the apprehended effect of such an inclination, my","ion, my father was impatient to have me bound to my brother.",10.684,待人工听音,待人工听音,needsReview
a06-p01-s11,"I stood out some time, but at last was persuaded, and signed",d signed the indentures when I was yet but twelve years old.,9.091,待人工听音,待人工听音,needsReview
a06-p01-s12,I was to serve as an apprentice till I was twenty-one years ,I was to be allowed journeyman's wages during the last year.,10.762,待人工听音,待人工听音,needsReview
a06-p01-s13,"In a little time I made great proficiency in the business, a","ncy in the business, and became a useful hand to my brother.",9.639,待人工听音,待人工听音,needsReview
a06-p01-s14,I now had access to better books.,I now had access to better books.,3.944,待人工听音,待人工听音,needsReview
a06-p01-s15,An acquaintance with the apprentices of booksellers enabled ,"w a small one, which I was careful to return soon and clean.",10.292,待人工听音,待人工听音,needsReview
a06-p01-s16,Often I sat up in my room reading the greatest part of the n,"ed early in the morning, lest it should be missed or wanted.",12.251,待人工听音,待人工听音,needsReview
a06-p02-s01,"And after some time an ingenious tradesman, Mr. Matthew Adam","rary, and very kindly lent me such books as I chose to read.",20.245,待人工听音,待人工听音,needsReview
a06-p02-s02,"I now took a fancy to poetry, and made some little pieces; m",", encouraged me, and put me on composing occasional ballads.",12.016,待人工听音,待人工听音,needsReview
a06-p02-s03,"One was called The Lighthouse Tragedy, and contained an acco","r's song, on the taking of Teach (or Blackbeard) the pirate.",17.424,待人工听音,待人工听音,needsReview
a06-p02-s04,"They were wretched stuff, in the Grub-street-ballad style; a",en they were printed he sent me about the town to sell them.,11.311,待人工听音,待人工听音,needsReview
a06-p02-s05,"The first sold wonderfully, the event being recent, having m","derfully, the event being recent, having made a great noise.",5.433,待人工听音,待人工听音,needsReview
a06-p02-s06,This flattered my vanity; but my father discouraged me by ri,"rmances, and telling me verse-makers were generally beggars.",12.878,待人工听音,待人工听音,needsReview
a06-p02-s07,"So I escaped being a poet, most probably a very bad one; but","ituation, I acquired what little ability I have in that way.",19.931,待人工听音,待人工听音,needsReview
a06-p03-s01,"There was another bookish lad in the town, John Collins by n","John Collins by name, with whom I was intimately acquainted.",9.247,待人工听音,待人工听音,needsReview
a06-p03-s02,"We sometimes disputed, and very fond we were of argument, an",perhaps enmities where you may have occasion for friendship.,33.228,待人工听音,待人工听音,needsReview
a06-p03-s03,I had caught it by reading my father's books of dispute abou,t it by reading my father's books of dispute about religion.,5.512,待人工听音,待人工听音,needsReview
a06-p03-s04,"Persons of good sense, I have since observed, seldom fall in"," men, and men of all sorts that have been bred at Edinburgh.",13.662,待人工听音,待人工听音,needsReview
a06-p04-s01,"A question was once, somehow or other, started between Colli","g the female sex in learning, and their abilities for study.",12.225,待人工听音,待人工听音,needsReview
a06-p04-s02,"He was of opinion that it was improper, and that they were n","it was improper, and that they were naturally unequal to it.",7.419,待人工听音,待人工听音,needsReview
a06-p04-s03,"I took the contrary side, perhaps a little for dispute's sak","took the contrary side, perhaps a little for dispute's sake.",6.087,待人工听音,待人工听音,needsReview
